1, And the winner by KO... YONG PHILLIPS, 1-0-0, 0-1-0
426, And the winner by KO... ALFONSO LITTLE, 0-2-1, 2-1-0
427, And the winner by KO... WARREN SCHMIDT, 0-1-0, 1-0-2
428, It's a Draw!!, 0-1-1, 0-0-1
429, And the winner by KO... EMANUEL TURNER, 1-0-0, 0-1-0
430, And the winner by KO... JAMAL REED, 0-1-0, 2-1-0
431, And the winner by KO... CECIL ROSS, 1-0-0, 1-1-1
432, And the winner by KO... RANDELL ESTRIDGE, 2-1-0, 0-1-0
433, And the winner by KO... GABRIEL ELLIOTT, 2-0-1, 0-1-0
434, And the winner by KO... AARON OWENS, 2-0-0, 0-2-0
435, And the winner by KO... HUNTER HAYES, 0-1-0, 1-0-0
436, And the winner by KO... DONNIE EDDINGER, 1-0-0, 0-1-0
437, It's a Draw!!, 0-0-1, 1-1-1
438, And the winner by KO... HERB DRESEL, 1-3-0, 1-0-0
439, And the winner by KO... FRANK BERRY, 0-2-0, 2-1-0
440, And the winner by KO... REGINALD CURTIS, 1-0-0, 0-1-0
441, And the winner by KO... LANCE EGGLETON, 1-1-0, 1-0-0
442, And the winner by KO... JUSTIN PRICE, 1-1-0, 1-0-0
443, And the winner by KO... BUD FISHBEIN, 1-0-0, 1-1-0
444, And the winner by KO... SAUL HUNTER, 0-2-0, 1-0-0
445, And the winner by KO... MOHAMED BERRY, 1-0-0, 0-1-0
446, And the winner by KO... FAUSTINO REED, 0-2-0, 2-1-1
447, And the winner by KO... PABLO WATKINS, 1-0-0, 0-2-0
448, And the winner by KO... HIPOLITO DELMONT, 1-0-0, 0-1-0
449, And the winner by KO... CRUZ ORTIZ, 0-1-0, 2-0-0
450, It's a Draw!!, 0-0-1, 0-0-1
451, And the winner by KO... CHRIS PAYNE, 1-1-0, 0-1-0
452, And the winner by KO... LEONARDO HARRIS, 1-1-0, 0-1-0
453, And the winner by KO... WALKER TAYLOR, 0-2-0, 1-0-0
454, And the winner by KO... BRADLY BOWMAN, 0-1-0, 1-0-0
455, And the winner by KO... JACQUES DEMSKI, 1-2-0, 1-0-0
456, And the winner by KO... PRINCE EMMICK, 0-2-0, 1-1-0
457, And the winner by KO... ELLSWORTH GRANT, 3-0-0, 0-1-0
458, And the winner by KO... ROSARIO FOWLER, 0-1-1, 1-0-0
459, It's a Draw!!, 1-0-1, 0-0-1
460, And the winner by KO... MILO POWELL, 3-0-0, 0-2-0
461, And the winner by KO... ANDRE BLACK, 0-1-0, 2-1-0
462, It's a Draw!!, 0-1-1, 0-0-1
463, And the winner by KO... WADE DEVALLE, 2-1-0, 0-2-0
464, And the winner by KO... AMADO FINTON, 1-1-0, 1-0-0
465, And the winner by KO... JARRETT HILL, 0-2-0, 1-0-0
466, And the winner by KO... SHAD TAYLOR, 1-0-0, 0-1-0
467, And the winner by KO... FREDERICK HUNTER, 0-1-0, 1-1-0
468, And the winner by KO... CHAUNCEY ALVAREZ, 0-2-0, 1-1-0
469, And the winner by KO... BRYAN NICHOLS, 0-2-0, 1-0-0
470, It's a Draw!!, 0-0-1, 0-1-1
471, And the winner by KO... KENETH HARRIS, 0-2-0, 1-0-0
472, And the winner by KO... LENNY ROMERO, 1-0-0, 0-2-0
473, And the winner by KO... MANUEL SIMMONS, 0-1-0, 1-0-0
474, And the winner by KO... WYATT DELUCCA, 1-0-0, 0-1-0
475, And the winner by KO... HOMER JENSEN, 1-0-0, 0-1-0
476, And the winner by KO... CHADWICK KIM, 2-1-0, 1-0-0
477, And the winner by KO... VIRGILIO JOHNSTON, 1-1-0, 3-1-0
478, And the winner by KO... RANDY SANDERS, 0-1-0, 1-0-0
479, And the winner by KO... RODERICK RICE, 1-0-0, 0-1-0
480, And the winner by KO... BEN OWENS, 1-0-0, 0-2-0
481, And the winner by KO... ADOLPH WEBB, 1-1-0, 2-0-0
482, And the winner by KO... ANTONE FRANKLIN, 0-1-0, 1-0-2
483, And the winner by KO... ARTHUR DESPER, 3-1-0, 1-0-0
484, And the winner by KO... BENNETT LITTLE, 1-1-0, 1-0-0
485, And the winner by KO... OLIN GUTIERREZ, 1-1-0, 2-1-0
486, And the winner by KO... NICKOLAS STEPHENS, 1-0-0, 0-1-0
487, And the winner by KO... CARMEN PEREZ, 1-0-0, 0-1-0
488, And the winner by KO... BARNEY WOOD, 1-0-0, 0-1-0
489, It's a Draw!!, 1-0-1, 0-1-1
490, And the winner by KO... MARY CLARK, 2-0-0, 0-1-0
491, And the winner by KO... CONNIE PETERS, 0-1-0, 1-0-0
492, And the winner by KO... CLIFFORD BENNETT, 1-1-0, 1-0-0
493, And the winner by KO... EDWARD WASHINGTON, 1-2-0, 1-1-1
494, And the winner by KO... LEONARDO HARRIS, 0-1-0, 2-1-0
495, And the winner by KO... HAROLD SIMMONS, 0-1-0, 1-0-0
496, And the winner by KO... LANDON CUNNINGHAM, 1-0-0, 0-1-1
497, And the winner by KO... HAROLD SIMMONS, 0-1-0, 2-0-0
498, It's a Draw!!, 1-0-1, 0-0-1
499, It's a Draw!!, 1-0-1, 2-0-1
500, And the winner by KO... DARIUS FISHBEIN, 1-1-0, 1-1-0
501, It's a Draw!!, 1-0-1, 2-1-1
502, And the winner by KO... AURELIO FISHER, 1-0-0, 0-1-0
503, And the winner by KO... DERRICK SHAW, 3-0-1, 2-2-0
504, And the winner by KO... COURTNEY BARNES, 2-0-0, 2-1-0
505, And the winner by KO... HUMBERTO STONE, 1-0-1, 1-1-0
506, And the winner by KO... REGGIE HENRY, 1-1-0, 1-1-0
507, And the winner by KO... IRWIN GILBERT, 0-1-0, 1-0-0
508, And the winner by KO... LENNY ROMERO, 2-0-0, 0-1-0
509, It's a Draw!!, 0-0-1, 0-0-1
510, And the winner by KO... JACQUES RIVERA, 1-0-0, 0-1-2
511, It's a Draw!!, 0-0-1, 0-1-1
512, It's a Draw!!, 2-1-1, 2-0-2
513, It's a Draw!!, 0-0-1, 0-0-1
514, And the winner by KO... MAURICE WEBB, 1-1-0, 0-1-0
515, And the winner by KO... SHAD TAYLOR, 2-0-0, 0-1-0
516, And the winner by KO... MANUEL DENMON, 2-0-0, 0-1-0
517, And the winner by KO... STUART JOHNSON, 0-2-0, 1-1-0
518, And the winner by KO... JOHNATHON BROWN, 0-1-0, 1-0-0
519, And the winner by KO... MYLES FRAZIER, 0-3-0, 2-0-0
520, And the winner by KO... CARMINE EKKER, 0-1-0, 1-0-0
521, And the winner by KO... SAMMY ALVAREZ, 2-0-0, 0-1-0
522, It's a Draw!!, 0-0-1, 0-1-1
523, And the winner by KO... MAC DIMMITT, 0-1-0, 1-0-0
524, And the winner by KO... ANDRE BLACK, 3-1-0, 0-2-0
525, And the winner by KO... DERRICK BAKER, 1-0-1, 1-2-0
526, And the winner by KO... BENNY BYRD, 1-0-0, 0-1-0
527, And the winner by KO... AHMED ROBERTSON, 1-1-0, 0-1-0
528, And the winner by KO... AHMED KIM, 1-1-0, 0-1-0
529, It's a Draw!!, 0-0-1, 3-0-1
530, And the winner by KO... RAYFORD CARLSON, 1-2-0, 0-1-1
531, And the winner by KO... WAYLON HUGHES, 1-1-0, 0-1-0
532, And the winner by KO... JONAH FISHER, 0-1-0, 1-0-0
533, And the winner by KO... BLAINE CRAWFORD, 0-1-0, 1-0-1
534, And the winner by KO... ROGELIO WATSON, 1-0-0, 0-1-0
535, And the winner by KO... LUCIO HARRISON, 1-1-0, 1-0-0
536, And the winner by KO... HERB DRESEL, 2-0-0, 0-2-0
537, And the winner by KO... JOSIAH RILEY, 1-0-0, 1-2-0
538, It's a Draw!!, 0-0-1, 0-0-1
539, And the winner by KO... DAMON DONLAN, 2-0-1, 1-1-1
540, It's a Draw!!, 0-0-1, 0-0-1
541, And the winner by KO... MILLARD HUNTER, 1-1-0, 1-1-0
542, And the winner by KO... ARMANDO JENKINS, 1-1-0, 1-1-0
543, And the winner by KO... GUILLERMO HERRERA, 1-3-0, 1-0-0
544, And the winner by KO... LEWIS PETERSON, 0-1-1, 1-0-0
545, And the winner by KO... ROBERTO DONLAN, 1-1-0, 1-0-1
546, And the winner by KO... CARSON WALTERS, 0-1-0, 2-2-1
547, And the winner by KO... BRITT LAWRENCE, 1-1-1, 0-2-1
548, And the winner by KO... BRAIN EVANS, 0-1-0, 1-0-0
549, It's a Draw!!, 0-0-2, 1-0-1
550, It's a Draw!!, 0-1-1, 0-0-1
551, And the winner by KO... MARCEL FERNANDEZ, 0-1-0, 1-0-0
552, And the winner by KO... TIMMY HART, 0-1-0, 1-0-0
553, And the winner by KO... ERICH OLSON, 1-0-0, 1-1-0
554, And the winner by KO... SAMUAL CRAWFORD, 0-1-0, 1-0-0
555, And the winner by KO... HILARIO LEE, 1-0-0, 0-1-0
556, And the winner by KO... AURELIO DOMKE, 1-0-0, 0-1-0
557, And the winner by KO... MALIK CLARK, 2-1-0, 0-1-0
558, It's a Draw!!, 0-1-1, 0-0-1
559, And the winner by KO... OTTO FISHER, 1-1-0, 0-1-0
560, And the winner by KO... TROY BYRD, 1-0-0, 1-1-0
561, And the winner by KO... EZRA FARQUHARSON, 0-1-0, 1-1-0
562, And the winner by KO... FLORENTINO CARTER, 0-1-1, 2-0-0
563, And the winner by KO... BUFORD BURKE, 1-0-1, 0-1-0
564, It's a Draw!!, 0-0-1, 0-1-1
565, It's a Draw!!, 0-0-1, 1-1-2
566, And the winner by KO... LAVERNE BURTON, 1-1-0, 1-0-0
567, And the winner by KO... MOHAMMAD HALL, 1-0-0, 1-1-0
568, And the winner by KO... LENARD WATSON, 1-0-0, 1-1-0
569, And the winner by KO... PHIL RYAN, 1-0-1, 0-1-0
570, And the winner by KO... IAN TERRY, 1-0-0, 0-1-0
571, It's a Draw!!, 0-1-1, 0-0-1
572, And the winner by KO... ALVARO GONZALES, 0-1-0, 1-2-0
573, And the winner by KO... EMMANUEL GRANT, 1-0-0, 0-2-0
574, It's a Draw!!, 0-0-1, 0-0-2
575, And the winner by KO... STERLING VASQUEZ, 0-1-0, 1-0-0
576, And the winner by KO... ELROY LARSON, 0-1-0, 1-1-0
577, And the winner by KO... MATT AUSTIN, 1-1-0, 1-0-0
578, And the winner by KO... JED SIMMONS, 0-1-0, 1-1-0
579, And the winner by KO... LOYD FILICE, 0-1-0, 1-1-0
580, It's a Draw!!, 0-0-1, 0-0-1
581, And the winner by KO... LEANDRO RAMOS, 1-1-0, 0-1-0
582, And the winner by KO... MICHALE DENA, 0-1-0, 1-0-0
583, And the winner by KO... TREY FAUSNAUGHT, 2-0-0, 0-1-0
584, And the winner by KO... ROBT DIXON, 1-0-0, 0-1-0
585, And the winner by KO... ROCKY SCHMIDT, 0-1-0, 1-0-0
586, And the winner by KO... JOSEPH EISMAN, 0-1-0, 1-1-0
587, And the winner by KO... COLEMAN WHEELER, 1-1-0, 0-1-0
588, And the winner by KO... SHERWOOD BROOKS, 3-1-0, 0-2-1
589, And the winner by KO... CRUZ ORTIZ, 3-0-0, 0-1-0
590, And the winner by KO... REGGIE HENRY, 1-3-0, 2-1-0
591, And the winner by KO... DAMION RYAN, 1-0-0, 0-1-0
592, It's a Draw!!, 0-0-1, 0-0-1
593, It's a Draw!!, 0-0-1, 0-0-1
594, It's a Draw!!, 0-0-2, 0-0-2
595, And the winner by KO... JOHNATHON VARGAS, 0-1-0, 2-0-0
596, And the winner by KO... MILTON DELUCCA, 0-1-0, 2-0-1
597, And the winner by KO... MOHAMMAD HALL, 0-1-0, 2-0-0
598, And the winner by KO... DARREN ARNOLD, 2-2-0, 3-0-0
599, It's a Draw!!, 0-0-1, 0-0-1
600, And the winner by KO... LINDSEY JENSEN, 0-1-0, 1-1-0
601, And the winner by KO... ELVIS DUNN, 1-2-0, 2-1-0
602, And the winner by KO... LEIF LYNCH, 0-1-0, 1-0-0
603, And the winner by KO... VERNON HART, 0-1-0, 2-0-0
604, And the winner by KO... HAYDEN SOTO, 1-1-0, 2-1-1
605, And the winner by KO... EMERY DINGEE, 0-2-1, 1-0-0
606, And the winner by KO... SANDY CARR, 0-1-0, 1-0-2
607, And the winner by KO... RUSTY DUDAS, 1-1-0, 1-2-0
608, And the winner by KO... RODERICK KELLY, 0-2-0, 2-0-0
609, And the winner by KO... JEFF GONZALES, 0-1-0, 2-0-0
610, And the winner by KO... MALIK DOUGLAS, 0-1-0, 1-1-0
611, And the winner by KO... FRANKLIN DONLAN, 1-0-1, 0-1-0
612, And the winner by KO... JORDON BERRY, 0-1-0, 1-0-0
613, And the winner by KO... RICHIE THOMAS, 2-0-0, 0-1-0
614, And the winner by KO... MELVIN WEBB, 0-1-0, 1-0-0
615, And the winner by KO... RON TORRES, 2-0-0, 1-1-0
616, And the winner by KO... JOAN DUDAS, 1-1-0, 1-1-0
617, It's a Draw!!, 0-0-1, 0-0-1
618, It's a Draw!!, 0-0-1, 2-1-1
619, And the winner by KO... BUFORD BURKE, 2-0-1, 0-1-0
620, And the winner by KO... ABEL MAY, 0-2-0, 1-0-0
621, And the winner by KO... FRANKIE GORDON, 0-1-0, 1-0-0
622, And the winner by KO... SOLOMON SANDERS, 1-1-0, 0-1-0
623, It's a Draw!!, 0-0-1, 0-0-1
624, And the winner by KO... EDMOND THOMAS, 1-0-0, 1-2-0
625, And the winner by KO... KURTIS DONLAN, 1-0-0, 0-1-0
626, And the winner by KO... ZACHARY FISHBEIN, 1-1-0, 1-0-0
627, And the winner by KO... MICHALE DENA, 1-1-0, 2-0-0
628, And the winner by KO... HERSHEL KING, 0-1-0, 1-0-0
629, And the winner by KO... DEREK WEST, 0-1-0, 1-0-0
630, It's a Draw!!, 0-0-1, 0-0-2
631, And the winner by KO... LEVI GUTIERREZ, 0-3-0, 1-1-0
632, And the winner by KO... ROLLAND TUCKER, 1-0-0, 0-1-0
633, And the winner by KO... ROB HARRISON, 0-2-0, 1-2-0
634, And the winner by KO... SHAD TAYLOR, 3-0-0, 0-1-0
635, And the winner by KO... GAYLORD HANSEN, 0-1-0, 1-1-0
636, It's a Draw!!, 0-0-1, 0-1-1
637, And the winner by KO... HERSCHEL MORRIS, 2-0-0, 0-1-0
638, And the winner by KO... MARCO DOUGLAS, 1-1-0, 1-1-0
639, And the winner by KO... DARREN ARNOLD, 4-0-0, 0-1-0
640, And the winner by KO... EMMANUEL GRANT, 0-1-0, 2-0-0
641, And the winner by KO... ELWOOD BROWN, 0-2-1, 1-1-0
642, It's a Draw!!, 1-2-1, 1-1-1
643, And the winner by KO... JOSE ALVAREZ, 0-2-0, 1-0-1
644, And the winner by KO... RICARDO SCOTT, 0-1-0, 3-0-1
645, And the winner by KO... ROYCE LAWSON, 0-1-0, 1-1-0
646, And the winner by KO... SETH TORRES, 0-1-0, 1-0-0
647, And the winner by KO... RENE BENNETT, 1-1-1, 0-1-0
648, And the winner by KO... FELIPE DESNOYERS, 0-1-0, 1-2-0
649, And the winner by KO... ROSARIO EDDINGER, 1-0-0, 1-2-0
650, It's a Draw!!, 0-0-2, 1-0-2
651, And the winner by KO... CARLTON WILLIAMS, 1-0-0, 2-1-0
652, And the winner by KO... DARIUS MURRAY, 1-1-0, 0-1-0
653, And the winner by KO... JOAN FARRAH, 2-0-0, 1-1-1
654, And the winner by KO... JACQUES DEMSKI, 0-1-0, 2-0-0
655, And the winner by KO... DYLAN GREENE, 1-0-1, 0-2-0
656, It's a Draw!!, 0-1-1, 0-0-1
657, And the winner by KO... NICKOLAS FORD, 0-1-0, 1-0-0
658, And the winner by KO... DOMINICK PIERCE, 0-1-0, 1-0-0
659, And the winner by KO... TREVOR WHEELER, 0-3-1, 2-0-0
660, And the winner by KO... LAWERENCE DUNN, 1-0-0, 0-1-0
661, And the winner by KO... DOMINIC MARTIN, 2-1-0, 0-1-0
662, And the winner by KO... REYES HUNT, 0-1-0, 1-2-0
663, And the winner by KO... CARSON BYRD, 1-2-0, 1-0-0
664, And the winner by KO... CRUZ ORTIZ, 4-0-0, 2-1-0
665, It's a Draw!!, 0-0-1, 0-0-1
666, And the winner by KO... LONNY THOMAS, 0-1-1, 1-0-0
667, And the winner by KO... FRANCIS LEWIS, 1-0-0, 0-1-0
668, And the winner by KO... SOL JONES, 1-0-1, 0-1-0
669, And the winner by KO... GIL DUHAIME, 1-1-1, 1-0-1
670, And the winner by KO... AGUSTIN RAMOS, 1-0-0, 0-1-0
671, And the winner by KO... BRENDON DONATHAN, 1-0-0, 0-2-1
672, And the winner by KO... HENRY HARPER, 2-1-0, 0-2-0
673, And the winner by KO... CARLO LAWRENCE, 0-1-0, 1-1-0
674, It's a Draw!!, 0-2-1, 2-0-1
675, And the winner by KO... BASIL JONES, 0-3-0, 1-1-2
676, And the winner by KO... VICENTE HAYES, 3-0-0, 0-2-0
677, And the winner by KO... MAC BROWN, 1-1-0, 1-1-0
678, And the winner by KO... SEYMOUR GRAY, 0-1-0, 2-0-0
679, And the winner by KO... BENJAMIN WARREN, 0-1-0, 1-0-0
680, And the winner by KO... OTHA KING, 1-0-0, 1-1-0
681, And the winner by KO... HARLEY MENDOZA, 1-1-0, 1-0-0
682, And the winner by KO... CLEMENT RODRIGUEZ, 1-1-1, 1-1-1
683, And the winner by KO... JACQUES RIVERA, 2-0-0, 0-1-0
684, It's a Draw!!, 0-0-2, 0-0-2
685, It's a Draw!!, 1-0-1, 1-1-1
686, And the winner by KO... MASON SILVA, 2-1-0, 0-1-0
687, It's a Draw!!, 0-0-1, 1-0-1
688, It's a Draw!!, 0-0-1, 1-0-1
689, And the winner by KO... AURELIO DOMKE, 2-0-0, 1-1-0
690, And the winner by KO... ERASMO CASTILLO, 1-2-0, 1-0-0
691, And the winner by KO... ODIS DURIO, 1-0-0, 0-2-0
692, It's a Draw!!, 0-0-1, 0-0-1
693, It's a Draw!!, 0-0-1, 2-1-1
694, And the winner by KO... BOYD FILICE, 4-0-0, 1-1-0
695, And the winner by KO... CYRIL SMITH, 1-1-1, 1-1-0
696, And the winner by KO... TYSON ARNOLD, 1-0-0, 0-1-0
697, And the winner by KO... IKE GUTIERREZ, 0-1-0, 1-1-0
698, And the winner by KO... JERE CURTIS, 2-0-0, 0-1-0
699, And the winner by KO... JC REED, 1-0-0, 0-4-0
700, And the winner by KO... JESS EKDAHL, 1-2-0, 1-1-0
701, It's a Draw!!, 0-1-2, 0-0-1
702, And the winner by KO... ANGELO TAYLOR, 0-1-0, 3-1-1
703, And the winner by KO... LUCIUS RIVERA, 1-0-0, 1-1-0
704, And the winner by KO... EVERETTE MORRISON, 1-1-0, 0-1-0
705, And the winner by KO... LACY OLSON, 2-0-0, 1-2-0
706, It's a Draw!!, 0-0-1, 0-0-1
707, And the winner by KO... MOHAMMAD POWELL, 1-0-0, 1-1-0
708, And the winner by KO... SEBASTIAN DUHAIME, 1-0-0, 0-2-1
709, It's a Draw!!, 0-0-2, 0-0-1
710, And the winner by KO... LEMUEL GOMEZ, 1-1-0, 0-1-0
711, And the winner by KO... FERDINAND YOUNG, 0-1-0, 1-1-0
712, And the winner by KO... FRED MITCHELL, 1-0-0, 1-1-0
713, And the winner by KO... BRETT PEARSON, 0-1-0, 1-0-0
714, And the winner by KO... CARMELO CHAPMAN, 0-3-0, 1-1-0
715, And the winner by KO... HASSAN HART, 0-1-0, 1-0-0
716, And the winner by KO... CARROLL DEMSKI, 0-1-0, 1-0-0
717, It's a Draw!!, 0-1-1, 0-1-1
718, It's a Draw!!, 0-1-1, 0-0-1
719, And the winner by KO... TAYLOR MARSHALL, 1-0-0, 0-1-0
720, And the winner by KO... FABIAN FERGUSON, 0-2-0, 1-1-0
721, And the winner by KO... STEPHAN LEE, 1-1-0, 0-2-0
722, And the winner by KO... CYRUS SCHMIDT, 0-3-0, 1-1-0
723, And the winner by KO... OTIS JOHNSON, 1-3-1, 1-0-0
724, And the winner by KO... EVERETT PERRY, 1-1-0, 1-2-1
725, And the winner by KO... LUCIUS KING, 1-0-0, 0-2-0
726, And the winner by KO... MANUEL SIMMONS, 2-0-0, 0-1-1
727, It's a Draw!!, 0-1-1, 0-1-1
728, And the winner by KO... BARRETT DUDEN, 0-1-0, 1-0-0
729, And the winner by KO... LEMUEL GOMEZ, 0-1-0, 2-1-0
730, And the winner by KO... CHANG HUGHES, 1-0-0, 0-1-1
731, And the winner by KO... BURTON HUNT, 1-0-0, 0-1-0
732, And the winner by KO... EDMOND HANSON, 1-0-0, 2-1-0
733, And the winner by KO... STEPHAN LEE, 2-1-0, 1-1-0
734, And the winner by KO... HUNTER HAYES, 0-1-0, 2-1-0
735, And the winner by KO... BERTRAM MEYER, 1-0-0, 0-1-0
736, And the winner by KO... BRENT HOFFMAN, 1-2-1, 1-1-1
737, And the winner by KO... BLAIR STEWART, 1-2-0, 0-1-1
738, And the winner by KO... ERNEST FREEMAN, 0-1-0, 1-0-0
739, And the winner by KO... DONOVAN HALL, 0-1-0, 1-0-0
740, And the winner by KO... DARIUS MURRAY, 1-1-0, 2-1-0
741, And the winner by KO... ABEL GEORGE, 0-1-0, 1-0-1
742, And the winner by KO... STACEY BOYD, 0-1-0, 2-0-0
743, And the winner by KO... SHERWOOD BROOKS, 0-1-0, 4-1-0
744, And the winner by KO... MITCH LEE, 1-1-0, 1-0-2
745, And the winner by KO... BILLIE FITZHENRY, 1-0-1, 0-2-0
746, It's a Draw!!, 0-1-1, 0-1-1
747, And the winner by KO... RENE BENNETT, 1-1-0, 2-1-1
748, And the winner by KO... GERRY HOPKINS, 0-1-0, 2-0-0
749, And the winner by KO... LUCIUS FEOLA, 0-1-0, 2-0-0
750, And the winner by KO... GRANVILLE CRAWFORD, 1-1-0, 0-1-0
751, It's a Draw!!, 0-2-1, 1-1-2
752, It's a Draw!!, 0-2-1, 0-0-1
753, It's a Draw!!, 2-0-1, 1-0-1
754, And the winner by KO... TERRY BUTLER, 0-2-0, 2-2-0
755, And the winner by KO... BRET COOK, 0-2-0, 1-1-0
756, And the winner by KO... CRAIG DEROUIN, 1-1-0, 1-0-0
757, And the winner by KO... NICHOLAS RUIZ, 2-1-0, 1-1-0
758, And the winner by KO... JUAN HUNT, 1-1-0, 1-1-0
759, And the winner by KO... OWEN BROOKS, 0-2-0, 1-0-0
760, And the winner by KO... GARRET BURTON, 1-1-0, 2-2-0
761, And the winner by KO... LINCOLN SNYDER, 1-0-0, 0-2-0
762, It's a Draw!!, 0-0-1, 0-0-1
763, And the winner by KO... EDMUNDO LONG, 0-2-0, 1-0-0
764, And the winner by KO... ERICH ESSMAN, 1-1-0, 0-1-0
765, It's a Draw!!, 1-1-1, 0-2-1
766, It's a Draw!!, 1-1-1, 0-0-1
767, It's a Draw!!, 0-0-1, 0-0-2
768, And the winner by KO... NAPOLEON RILEY, 1-0-0, 1-2-0
769, And the winner by KO... CEDRIC EDDINGER, 1-0-1, 2-2-0
770, It's a Draw!!, 0-0-1, 0-1-1
771, And the winner by KO... JOHNIE HAWKINS, 1-1-0, 2-0-0
772, And the winner by KO... CLARK WALTERS, 0-2-0, 1-1-2
773, And the winner by KO... BRET BROWN, 1-1-0, 1-0-0
774, And the winner by KO... ROBBIE BANKS, 1-2-0, 1-2-0
775, And the winner by KO... STEVIE HARVEY, 0-1-1, 1-0-0
776, And the winner by KO... WADE BURKE, 1-0-1, 0-2-0
777, And the winner by KO... JAIME SOTO, 0-3-0, 1-2-0
778, It's a Draw!!, 0-0-1, 1-0-2
779, And the winner by KO... MINH HUNT, 1-1-0, 1-0-0
780, And the winner by KO... TRACY RAMOS, 1-3-0, 1-0-0
781, And the winner by KO... RENE BENNETT, 3-1-1, 0-1-0
782, And the winner by KO... ALLAN BROWN, 0-1-0, 1-0-2
783, And the winner by KO... GUADALUPE RICHARDS, 0-2-0, 1-1-0
784, And the winner by KO... CHONG EKKER, 1-1-0, 1-1-0
785, And the winner by KO... WYATT DELUCCA, 0-1-0, 2-0-0
786, And the winner by KO... MILLARD HUNTER, 2-1-0, 2-2-0
787, And the winner by KO... ELVIN FIELDS, 1-1-0, 0-1-0
788, And the winner by KO... CORNELL PHILLIPS, 1-0-0, 0-1-0
789, And the winner by KO... MALIK GREEN, 2-1-0, 0-1-0
790, It's a Draw!!, 0-2-1, 1-1-1
791, And the winner by KO... CECIL ROSS, 2-0-0, 0-1-0
792, And the winner by KO... LENARD FOSTER, 1-2-0, 0-1-1
793, And the winner by KO... FAUSTO DOBROWOLSKI, 1-1-0, 1-0-0
794, And the winner by KO... PASQUALE WARD, 0-1-0, 1-1-1
795, And the winner by KO... MARIO BARNES, 2-1-0, 1-0-0
796, And the winner by KO... TEDDY JACKSON, 1-0-0, 0-1-0
797, And the winner by KO... EZRA MORRIS, 2-1-0, 1-1-0
798, And the winner by KO... TROY BYRD, 2-0-0, 0-1-0
799, And the winner by KO... LUCIUS FEOLA, 3-0-0, 1-1-0
800, And the winner by KO... RANDAL DAVIS, 0-1-1, 1-1-0
801, And the winner by KO... ERICH OLSON, 2-0-0, 1-3-0
802, And the winner by KO... EDWARD WASHINGTON, 1-1-0, 2-2-0
803, It's a Draw!!, 0-1-1, 0-0-1
804, And the winner by KO... LAUREN NGUYEN, 0-1-0, 1-0-0
805, And the winner by KO... BRADLY BOWMAN, 2-0-0, 0-1-2
806, And the winner by KO... ARRON CHAVEZ, 0-1-0, 1-1-0
807, And the winner by KO... MARCUS WARD, 0-2-0, 1-0-0
808, It's a Draw!!, 0-0-2, 0-0-1
809, And the winner by KO... ADRIAN LAWSON, 1-3-0, 1-0-0
810, It's a Draw!!, 0-0-1, 0-1-1
811, And the winner by KO... RANDAL LOPEZ, 1-0-0, 0-1-0
812, And the winner by KO... VON BARNES, 1-2-0, 1-0-0
813, It's a Draw!!, 0-0-1, 2-0-2
814, And the winner by KO... BRUNO CRAWFORD, 1-0-0, 0-1-0
815, And the winner by KO... DWIGHT BOYD, 0-2-0, 1-0-1
816, And the winner by KO... LAVERNE MATTHEWS, 0-2-0, 1-0-1
817, And the winner by KO... FREDERICK HUNTER, 2-1-0, 0-1-0
818, And the winner by KO... DONNIE EDDINGER, 2-0-0, 1-1-0
819, And the winner by KO... DOMINIQUE ESTRIDGE, 0-2-0, 2-1-1
820, And the winner by KO... ARON GRIFFIN, 0-1-0, 1-0-0
821, It's a Draw!!, 0-0-1, 0-0-1
822, And the winner by KO... AHMED KIM, 2-2-0, 1-2-0
823, It's a Draw!!, 0-2-1, 1-0-1
824, And the winner by KO... DOMENIC MYERS, 1-0-1, 1-1-1
825, And the winner by KO... JEROLD REED, 1-1-0, 1-0-0
826, And the winner by KO... EDMUND COX, 1-0-1, 0-1-1
827, And the winner by KO... BENNY BYRD, 2-0-0, 3-1-0
828, It's a Draw!!, 0-0-1, 2-0-1
829, And the winner by KO... BENJAMIN WARREN, 0-1-0, 2-0-0
830, And the winner by KO... CEDRIC HOLMES, 1-1-0, 1-0-0
831, And the winner by KO... JULES ARNOLD, 0-1-1, 2-1-0
832, And the winner by KO... LEOPOLDO BOYD, 1-0-0, 1-1-1
833, And the winner by KO... NUMBERS DIMERY, 0-2-0, 1-1-0
834, And the winner by KO... SON DANIELS, 1-2-0, 0-1-0
835, And the winner by KO... JERROLD RYAN, 1-0-0, 0-2-0
836, And the winner by KO... RON HOWARD, 2-2-1, 0-2-0
837, It's a Draw!!, 0-0-1, 0-1-2
838, And the winner by KO... ALBERTO MORGAN, 1-1-0, 1-2-0
839, And the winner by KO... LINCOLN PERKINS, 1-1-0, 2-1-0
840, And the winner by KO... ALLAN BROWN, 2-0-2, 2-1-0
841, And the winner by KO... ISIDRO FLEMING, 1-1-0, 1-2-0
842, And the winner by KO... ROY GRAHAM, 0-2-0, 1-0-1
843, It's a Draw!!, 0-0-1, 1-0-1
844, And the winner by KO... BENNETT WAGNER, 1-2-0, 1-0-0
845, And the winner by KO... JIMMIE OLIVER, 1-1-1, 0-2-1
846, And the winner by KO... LOREN WEST, 2-2-0, 1-0-0
